year,km_driven,fuel,seller_type,transmission,owner,engine,max_power,seats,mileage_value,mileage_unit,selling_price
2014,145500,Diesel,Individual,Manual,1,1248,74.0,5,23.4,kmpl,450000
2014,120000,Diesel,Individual,Manual,2,1498,103.52,5,21.14,kmpl,370000
2006,140000,Petrol,Individual,Manual,3,1497,78.0,5,17.7,kmpl,158000
2010,127000,Diesel,Individual,Manual,1,1396,90.0,5,23.0,kmpl,225000
2007,120000,Petrol,Individual,Manual,1,1298,88.2,5,16.1,kmpl,130000
2017,45000,Petrol,Individual,Manual,1,1197,81.86,5,20.14,kmpl,440000
2007,175000,LPG,Individual,Manual,1,1061,57.5,5,17.3,km/kg,96000
2001,5000,Petrol,Individual,Manual,2,796,37.0,4,16.1,kmpl,45000
2011,90000,Diesel,Individual,Manual,1,1364,67.1,5,23.59,kmpl,350000
2013,169000,Diesel,Individual,Manual,1,1399,68.1,5,20.0,kmpl,200000
2014,68000,Diesel,Individual,Manual,2,1461,108.45,5,19.01,kmpl,500000
2005,100000,Petrol,Individual,Manual,2,993,60.0,5,17.3,kmpl,92000
2009,140000,Diesel,Individual,Manual,2,1248,73.9,5,19.3,kmpl,280000
2007,80000,Petrol,Individual,Manual,2,1248,82.0,5,18.9,kmpl,200000
2009,90000,Petrol,Individual,Manual,2,1061,67.0,5,18.9,kmpl,180000
2016,40000,Petrol,Individual,Manual,1,1198,82.0,5,18.15,kmpl,400000
2016,70000,Diesel,Individual,Manual,2,1248,88.5,7,24.52,kmpl,778000
2012,53000,Diesel,Individual,Manual,2,1396,90.0,5,23.0,kmpl,500000
2002,80000,Petrol,Individual,Manual,2,796,46.3,5,19.7,kmpl,150000
2016,100000,Diesel,Individual,Manual,1,1396,88.73,5,22.54,kmpl,680000
2011,100000,Diesel,Individual,Manual,2,1461,64.1,5,21.0,kmpl,174000
2017,50000,Diesel,Individual,Manual,1,1498,98.6,5,25.5,kmpl,950000
2015,40000,Diesel,Individual,Manual,1,1248,74.0,5,26.59,kmpl,525000
2012,72000,Diesel,Individual,Manual,1,1248,88.8,5,21.5,kmpl,600000
2018,35000,Petrol,Individual,Manual,1,1199,83.81,5,20.3,kmpl,500000
2016,45000,Petrol,Individual,Manual,1,1197,83.1,5,21.4,kmpl,575000
2017,28000,Petrol,Individual,Manual,1,796,47.3,5,24.7,kmpl,275000
2013,70000,Diesel,Individual,Manual,1,1248,73.8,7,18.2,kmpl,300000
2009,120000,Petrol,Individual,Manual,1,1061,67.0,5,18.9,kmpl,220000
2018,25000,Petrol,Individual,Manual,1,796,34.2,8,16.8,kmpl,254999
2017,70000,Diesel,Individual,Manual,1,1248,88.5,5,24.3,kmpl,670000
